Instance,Contractor(s),Date Type,Date,Misconduct Type,Disposition Type,Court Type,Enforcement Agency,Contracting Party,Total Penalties
"Sanchez v. Management and Training Corp., et al. (Violation of Civil Rights)",Management & Training Corp.,"",9/26/2006,Human Rights,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Illicit Payments in Asia,United Technologies Corporation,Date of Order,9/12/2018,Ethics,Settlement,Administrative,SEC,None,13986534
Underpayment of Royalties on Offshore Oil and Gas Leases,Royal Dutch Shell PLC,Date of Settlement Announcement,1/17/2012,Cost/Labor Mischarge,Settlement,Administrative,Interior,Interior,25000000
Radiation Protection Deficiencies at Lawrence Livermore Lab (2003),University of California,Date of Preliminary Notice of Violation,9/3/2003,Labor,Fine,Administrative,Energy,Energy,137500
Required Warranty Extensions,General Motors Corp.,Date of Administrative Agreement,2/11/2003,Consumer Affairs,Administrative Agreement,Administrative,State/Local,None,0
Submitting False Invoices on Jet Engine Contract,United Technologies Corporation,Date of Final Judgment,6/22/2016,Government Contract Fraud,Judgment Against Defendant,Civil,Defense - Air Force,Defense - Air Force,11050790
Sandler et al. v. Wyeth Pharmaceuticals,Wyeth,Date of Complaint,12/16/2005,Government Contract Fraud,Settlement,Civil,Non-Governmental,Health and Human Services,0
Cheifer v. JetBlue Airways (Illegal Wiretapping),Patriot Team,Date of Settlement Announcement,10/29/2013,Human Rights,Settlement,Civil,Non-Governmental,None,3200000
"MTBE Cleanup Costs (Santa Monica, CA)",Royal Dutch Shell PLC,Date of Settlement,2/16/2005,Environment,Settlement,Civil,EPA,None,Undisclosed/Unknown
Using an Outdated Schedule for Reimbursements,"Health Net, Inc.",Date of Settlement Agreement,4/13/2004,Cost/Labor Mischarge,Settlement,Civil,State/Local,None,5490000
Fraudulent Reimbursement,Computer Sciences Corporation,Date of Settlement,9/28/2005,Government Contract Fraud,Settlement,Civil,NASA,NASA,1275000
Violations of Rules and Procedures at INEEL,Bechtel Corporation,Date of PNOV,6/12/2002,Labor,Fine,Administrative,Energy,Energy,41250
Chemical and Refinery Employee Overtime and Back Wages,Royal Dutch Shell PLC,Date of Settlement Announcement,9/16/2014,Labor,Settlement,Civil,Labor,None,4470764
Nigeria LNG Contracts Bribery - African Development Bank Fine,KBR,Date of Fine,3/21/2014,Ethics,Fine,N/A,International,None,6500000
Pennsylvania Copper Network Settlement,"Verizon Communications, Inc.",Date of Settlement Announcement,6/2/2017,Consumer Affairs,Settlement,Administrative,State/Local,None,0
"Starpower Communications, LLC v. Verizon South, Inc. (Violation of Interconnection Agreement)","Verizon Communications, Inc.",Date of Opinion,11/5/2003,Poor Contract Performance,Restitution,Administrative,FCC,Non-Governmental,12059149
Misreporting Prices for Nasal Sprays,Sanofi-Aventis,Date of Announcement,5/28/2009,Government Contract Fraud,Settlement,Civil,Health and Human Services,None,95500000
"U.S. ex rel. Smith v. VMware, Inc. et al. (False Claims)",Carahsoft Technology Corporation,Date of Settlement Announcement,6/30/2015,Government Contract Fraud,Settlement,Civil,Justice,GSA,Undisclosed/Unknown
Violations of Underground Tank Systems Standards,Exxon Mobil,Date of Consent Decree,11/29/2001,Environment,Administrative Agreement,Administrative,State/Local,None,245000
Atallah vs. Equilon Enterprises (Fraud),Royal Dutch Shell PLC,Date of Punitives Verdict,3/9/2010,Non-governmental Contract Fraud,Judgment Against Defendant,Civil,Non-Governmental,Non-Governmental,51650000
Jordan v. Northrop Grumman (Installation of Substandard Parts in Navy Target Drones),Northrop Grumman,Date of Settlement,8/20/2003,Government Contract Fraud,Settlement,Civil,Defense - Navy,Defense - Navy,20000000
"Richmond, CA Refinery No Contest Plea",ChevronTexaco Corporation,Date of Plea,8/5/2013,Labor,Settlement,Criminal,State/Local,None,2000000
Violations of New York Water and Hazardous Waste Laws,General Electric,Date of Notice,4/16/2004,Environment,Settlement,Administrative,State/Local,None,90000
Overpricing Fuel,KBR,Date of DCAA Report,12/11/2003,Cost/Labor Mischarge,Settlement,Administrative,Defense - Army,Defense - Army,10100000
"Puerto Rico v. Shell Oil Co., et al. (MTBE Groundwater Contamination)","ChevronTexaco Corporation, Exxon Mobil, Royal Dutch Shell PLC",Date of Complaint,9/4/2013,Environment,Pending,Civil,State/Local,None,0
Security Breach Lawsuit (Vermont),"Health Net, Inc.",Date of Complaint,1/14/2011,Consumer Affairs,Settlement,Civil,State/Local,None,55000
Overcharging Medicaid,GlaxoSmithKline,Date of Announcement,4/16/2003,Health,Settlement,Civil,Health and Human Services,None,87600000
Conspiring to Corner the Propane Market (CFTC v. BP Products North America),BP P.L.C.,Date of Announcement,10/25/2007,Antitrust,Deferred Prosecution Agreement,Criminal,CFTC,None,303000000
U.S. v. Gilbert (Theft of Government Property),PAE Holding Corporation,Date of Verdict,7/18/2018,Government Contract Fraud,Found Guilty,Criminal,Justice,State Dept.,0
Maricopa County Hazardous Waste and Environmental Cleanup Violations,Honeywell International Inc.,Date of Announcement,8/7/2008,Environment,Settlement,Administrative,State/Local,None,6000000
"Barrera et al. v. McDermott International, Inc., et al. (Exposure to Lead-Contaminated Paint)","McDermott, Inc.",Date of Settlement - approx.,12/1/2005,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Keidel v. Akal Security (Gender Discrimination),"Akal Security, Inc.",Date of Filing,10/27/2006,Labor,Settlement,Civil,Non-Governmental,Defense - Army,Undisclosed/Unknown
Black Hawk False Claims Settlement,United Technologies Corporation,Date of Announcement,3/25/2009,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - Army,2941000
"Gasoline Leak (Baltimore County, Md.)",Exxon Mobil,Date of Consent Decree,9/11/2008,Environment,Settlement,Civil,State/Local,None,4000000
St. Joe Co. v. Halliburton (April 2010 Gulf of Mexico Oil Spill),Halliburton,Date of Filing,8/4/2010,Environment,Pending,Civil,Non-Governmental,None,0
Salt Waste Processing Facility False Claims,Parsons Corporation,Date of Settlement Announcement,9/2/2015,Government Contract Fraud,Settlement,Civil,Justice,Energy,3800000
Cunningham et al. v. FedEx (Violation of USERRA),FedEx Corporation,Date of Complaint,5/12/2017,Labor,Pending,Civil,Non-Governmental,None,0
Pembroke Refinery Safety Breach,Valero Energy Corp.,Date of Fine Announcement,9/12/2016,Labor,Pleaded Guilty,Criminal,International,None,609399
Failing to Promptly Report Medicaid Fraud or Abuse,Humana,Date of AHCA Letters,8/9/2011,Other,Fine,Administrative,State/Local,None,3360000
Fire Water System Violation,BP P.L.C.,Date of Penalty,1/9/2003,Environment,Fine,Administrative,Interior,None,70000
Longest v. DynCorp (Submitting False Claims to the Government),DynCorp International Inc.,Date of Filing,5/29/2003,Government Contract Fraud,Settlement,Civil,Non-Governmental,State Dept.,Undisclosed/Unknown
U.S. ex rel. Fox v. McKesson (CDC Contract False Claims),McKesson,Date of Settlement Announcement,8/8/2014,Government Contract Fraud,Settlement,Civil,Justice,Health and Human Services,18525000
Wrongful Death,Humana,Date of Verdict,7/1/2005,Health,Judgment Against Defendant,Civil,Non-Governmental,None,4190000
SIGAR Audit of USAID Accelerated Sustainable Agriculture Program and Afghanistan Stabilization Initiative Contracts,Chemonics International Inc.,Date of Audit Report,7/10/2014,Poor Contract Performance,Investigative Finding,N/A,SIGAR,USAID,0
Defective Dishwashers,General Electric,Date of Fine,8/8/2002,Consumer Affairs,Fine,Administrative,CPSC,None,1000000
Second-Hand Mesothelioma,Royal Dutch Shell PLC,Date of Filing,5/28/2010,Health,Pending,Civil,Non-Governmental,None,0
Gulf of Mexico Oil Spill Federal Cleanup Costs,BP P.L.C.,Date of Announcement,6/3/2010,Environment,Restitution,N/A,Multiple Agencies,None,69090000
Shubert v. Federal Express Corporation (Breach of Contract),FedEx Corporation,Date of Settlement,6/30/1999,Cost/Labor Mischarge,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
Licensing Violations in Neonatal Care Unit,University of Chicago,Date of Settlement Announcement,6/29/2010,Government Contract Fraud,Settlement,Civil,State/Local,State/Local,7000000
"Environmental Violations at Littleton, MA Facility",Hewlett-Packard Company,Date of Fine Announcement,10/8/2014,Environment,Fine,N/A,State/Local,None,11833
Self-Reported F-35 Overbilling,Lockheed Martin,Date of Announcement,8/9/2007,Cost/Labor Mischarge,Restitution,N/A,Non-Governmental,Defense - General,265000000
Van Dorn et al. v. Sikorsky et al. (MH-53E Sea Dragon Crash),"General Electric, L-3 Communications, Lockheed Martin",Date of Complaint,12/28/2015,Consumer Affairs,Settlement,Civil,Non-Governmental,Defense - Navy,Undisclosed/Unknown
Misuse of Government Equipment,SAIC,Date of ICIG Report,5/7/2013,Government Contract Fraud,Investigative Finding,N/A,ICIG,ODNI,925747
Failure to Maintain Independence During Audits of Banro Corp.,Deloitte LLP,Date of Order,10/16/2018,Securities,Fine,Administrative,PCAOB,None,350000
Groundwater Violations,Westinghouse Electric Corp.,Date of Press Release,2/17/2000,Environment,Judgment Against Defendant,Civil,State/Local,None,3300000
Violations of Export Administration Regulations,"Dell, Inc.",Date of Penalty,6/17/1997,Import/Export,Fine,Administrative,Commerce,None,50000
Willis v. CCA (Escaped Prisoner Kidnapping),Corrections Corporation of America,Date of Verdict,3/3/2003,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,None,500000
Moran v. Chrysler Corp. (Defective Seatbelt),Daimler AG,Date of Damage Award,7/28/2000,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,None,6700000
Unauthorized Venting and Flaring of Gas in the Gulf of Mexico,Royal Dutch Shell PLC,Date of Announcement,8/5/2003,Environment,Settlement,Civil,Interior,Interior,49000000
Embezzlement of PAC Funds,Lockheed Martin,Date of Sentencing,10/23/2007,Ethics,Pleaded Guilty,Criminal,FEC,None,165516
Augmentin Antitrust Litigation,GlaxoSmithKline,Date of Announcement,7/8/2004,Antitrust,Settlement,Civil,Non-Governmental,None,92000000
Del Amo Superfund Site Cleanup,Royal Dutch Shell PLC,Date of Consent Decree,9/29/2015,Environment,Settlement,Civil,Multiple Agencies,None,1263994
"Big Sky Battery, Inc. v. Dell (Defective Monitor)","Dell, Inc.",Date of Complaint,12/19/2007,Consumer Affairs,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
"Crawford, et al. v. Newport News Industrial Corp. (Racial Discrimination)",Huntington Ingalls Industries,Date of First Amended Complaint,2/11/2015,Labor,Pending,Civil,Non-Governmental,None,0
Citations for February 2015 Torrance Refinery Explosion,Exxon Mobil,Date of Citations,8/13/2015,Labor,Fine,Administrative,State/Local,None,566000
Big Dig Tunnel Collapse Wrongful Death Lawsuit,Bechtel Corporation,Date of Announcement,9/30/2008,Poor Contract Performance,Settlement,Civil,Non-Governmental,Multiple Agencies,Undisclosed/Unknown
Unauthorized Operation of Wireless Stations,AT&T Inc.,Date of FCC Notice,1/29/2015,Other,Fine,Administrative,FCC,None,640000
Accounting Irregularities (Derivative Litigation),"Dell, Inc.",Date of 8-K,9/28/2009,Securities,Settlement,Civil,Non-Governmental,None,1750000
Salt Lake City Pipeline Leak,ChevronTexaco Corporation,Date of Penalty Announcement,11/1/2010,Environment,Fine,Administrative,Transportation,None,423600
SEC v. DeVore (Insider Trading),"Dell, Inc.",Date of Charges,2/3/2011,Securities,Pending,Civil,SEC,None,0
Sex Discrimination and Retaliation,FedEx Corporation,Date of Verdict,2/25/2004,Labor,Judgment Against Defendant,Civil,EEOC,None,3241400
U.S. v. Wilson (Making a Fraudulent and Materially False Statement),Huntington Ingalls Industries,Date of Plea,5/24/2016,Government Contract Fraud,Pleaded Guilty,Criminal,Multiple Agencies,Multiple Agencies,4100
Nigeria Charter Service Settlement,World Airways,Date of Settlement - approx.,12/1/2008,Consumer Affairs,Settlement,Civil,Non-Governmental,None,5700000
Y-12 National Security Complex Security Breach - Show Cause Letter,Babcock & Wilcox Tech. Servs. Y-12,Date of Show Cause Letter,8/10/2012,Poor Contract Performance,Investigative Finding,N/A,Energy,Energy,0
Operating Industries Inc. Superfund Site Cleanup,Halliburton,Date of Settlement Announcement,4/1/2010,Environment,Settlement,Civil,EPA,None,Undisclosed/Unknown
Poteet v. CH2M Hill (Negligent Exposure to Radioactive Waste),"CH2M Hill Companies, Ltd.",Date of Complaint,7/21/2010,Health,Pending,Civil,Non-Governmental,Energy,0
"Untrue, Deceptive or Misleading Statements to Policyholders in Missouri",Humana,Date of Settlement Announcement,1/6/2015,Consumer Affairs,Settlement,Administrative,State/Local,None,161800
Barker v. KBR (Sexual Harassment and Retaliation),KBR,Date of Arbitration Award - approx.,11/18/2009,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,2934377
Fair Credit Reporting Act Violation,AT&T Inc.,Date of Consent Decree,9/9/2004,Consumer Affairs,Settlement,Civil,FTC,None,365000
Cost/Labor Mischarge (1996),Lockheed Martin,Date of Settlement,9/18/1996,Cost/Labor Mischarge,Settlement,Undisclosed/unknown,Defense - General,Defense - General,17272
U.S. ex rel. Wetherholt and Drimer v. Pfizer (Illegal Marketing of Detrol),"Pfizer, Inc.",Date of Settlement Announcement,10/21/2011,Health,Settlement,Civil,Health and Human Services,None,14500000
Cost/Labor Mischarging,Northrop Grumman,Date of Report,6/30/1999,Cost/Labor Mischarge,Settlement,Undisclosed/unknown,Defense - General,Defense - General,145250
Niantic River Bridge Contract Overbilling,URS Corporation,Date of Settlement Announcement,3/2/2016,Government Contract Fraud,Settlement,Civil,Amtrak,Amtrak,580000
Oil For Food Program Kickbacks - Criminal Investigation,"Textron, Inc.",Date of Announcement,8/23/2007,Ethics,Non-Prosecution Agreement,Criminal,Justice,International,1150000
Failing to Make Timely Refunds/Filing Inaccurate and Late Reports,Patriot Team,Date of Consent Order,8/30/2013,Consumer Affairs,Fine,Administrative,Transportation,None,350000
Fraudulently Obtained Small Business Contracts,"Atlantic Diving Supply, Inc.",Date of Settlement Announcement,8/10/2017,Government Contract Fraud,Settlement,Civil,Justice,Multiple Agencies,16000000
Failure to Meet Air Resources Board Certification Standards,General Motors Corp.,Date of Settlement Announcement,2/4/1998,Environment,Settlement,Administrative,State/Local,None,80000
Violation of the DOE Contractor Employee Protection Program (Hanford),Bechtel Corporation,Date of PNOV,9/15/2008,Labor,Fine,Administrative,Energy,Energy,41250
2002 FDA Consent Decree,Schering-Plough Corporation,Date of Announcement,5/17/2002,Health,Settlement,Civil,Health and Human Services,None,500000000
Vandenberg Air Force Base Superfund Cleanup Costs,Honeywell International Inc.,Date of Consent Decree,7/30/2018,Environment,Settlement,Civil,Defense - Air Force,Defense - Air Force,250000
Quality Control Violations at Software Plant,General Electric,Date of Warning Letter,8/12/2008,Consumer Affairs,Investigative Finding,Administrative,Health and Human Services,None,0
Failure to Protect Employees from a Chemical Release (Texas City Refinery),BP P.L.C.,Date of Citation,8/25/2004,Labor,Fine,Administrative,Labor - OSHA,None,63000
Workplace Discrimination (National Origin),FedEx Corporation,Date of Complaints,7/31/2006,Labor,Pending,Civil,Non-Governmental,None,0
Cape Canaveral Air Force Station Safety Violation,"United Launch Alliance, LLC",Date of Decision and Order,3/7/2017,Labor,Fine,Administrative,Labor - OSHA,Defense - Air Force,5000
Chavez v. FedEx Freight et al. (California Driver Lawsuit),FedEx Corporation,Date of Complaint,8/6/2012,Labor,Settlement,Civil,Non-Governmental,None,1025000
U.S. v. Ruks (Falsely Certifying Ship and Submarine Inspections),Northrop Grumman,Date of Plea,5/6/2011,Government Contract Fraud,Pleaded Guilty,Criminal,Defense - Navy,Defense - Navy,200
"Eixenberger, et al. v. CCA (Dangerous Conditions at Idaho CC)",Corrections Corporation of America,Date of Complaint,1/23/2014,Labor,Pending,Civil,Non-Governmental,State/Local,0
Baton Rouge Plant Clean Air Act Violations (2011 - 2016),Exxon Mobil,Date of Complaint,3/3/2016,Environment,Pending,Civil,Non-Governmental,None,0
Unsafe Operations During the Slip and Cut of the Drill Line,BP P.L.C.,Date of Penalty,2/14/2001,Labor,Fine,Administrative,Interior,None,20000
Satellite Parts Kickbacks,Boeing Company,Date of Plea,5/20/2013,Ethics,Pleaded Guilty,Criminal,Multiple Agencies,Multiple Agencies,0
Lanco Well Site Explosion - Wrongful Death Lawsuit,ChevronTexaco Corporation,Date of Settlement Announcement,5/28/2015,Labor,Settlement,Civil,Non-Governmental,None,5000000
Leavenworth Detention Center Contract Audit,Corrections Corporation of America,Date of Report,4/25/2017,Poor Contract Performance,Investigative Finding,N/A,Justice,Justice,0
Smith v. Merck (Gender Discrimination),"Merck & Co., Inc.",Date of Complaint,5/9/2013,Labor,Settlement,Civil,Non-Governmental,None,0
NASA Overbilling,Booz Allen Hamilton,Date of Settlement,5/29/2009,Government Contract Fraud,Settlement,Civil,GSA,NASA,325000
Unauthorized Chemical Discharge (Virginia),Honeywell International Inc.,Date of Consent Order,10/4/2002,Environment,Administrative Agreement,Civil,State/Local,None,47280
Improperly Grounded Skid Mounted Electrical Pressure Washer,BP P.L.C.,Date of Penalty,5/9/2002,Labor,Fine,Administrative,Interior,None,23000
Review of Enterprise Technology Solutions Compliance with Federal Small Business Program Contracting Rules,"Health Net, Inc.",Date of IG Report,8/20/2012,Government Contract Fraud,Investigative Finding,N/A,Veterans Affairs,Veterans Affairs,0
Workplace Discrimination (Retaliation and Constructive Termination),FedEx Corporation,Date of Verdict,12/22/2004,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,1570000
Violations of Toxic Substances Control Act,University of California,Date of Announcement of Fine,5/7/2001,Environment,Fine,Administrative,EPA,None,9350
Improper Storage of PCB-Containing Equipment,General Electric,Date of Settlement,5/30/2003,Environment,Settlement,Administrative,EPA,None,94380
Cappellino v. GlaxoSmithKline (Gender Discrimination),GlaxoSmithKline,Date of Complaint,6/14/2013,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Virginia Drug Prices Lawsuit,McKesson,Date of Settlement Announcement,10/18/2013,Antitrust,Settlement,Civil,State/Local,None,37000000
Fraud and Breach of Contract,Evergreen International Airlines,Date of Settlement Agreement,5/6/2005,Non-governmental Contract Fraud,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
U.S. v. Bell (CityTime Contract Fraud),SAIC,Date of Plea,6/14/2011,Government Contract Fraud,Pleaded Guilty,Criminal,Multiple Agencies,State/Local,0
Defrauding Investors Regarding the Impact of Climate Change Regulations - N.Y. AG Lawsuit,Exxon Mobil,Date of Complaint,10/24/2018,Securities,Pending,Civil,State/Local,None,0
ReedHycalog Patent Litigation,Halliburton,Date of Announcement,6/23/2008,Intellectual Property,Settlement,Civil,Non-Governmental,None,30000000
Wireline Unit Removal Operation Violation,Exxon Mobil,Date of Penalty,4/19/2005,Labor,Fine,Administrative,Interior,None,10000
V-22 Osprey Shareholder Litigation,"Textron, Inc.",Date of Settlement,3/26/2007,Securities,Settlement,Civil,Non-Governmental,Defense - General,7000000
Violations of the False Claims Act (Department of Defense and NASA),Honeywell International Inc.,Date of Settlement,6/15/2006,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,2600000
Inflated Shipping Costs to Military in Iraq and Afghanistan,AP Moller-Maersk A/S,Date of Settlement Announcement,1/3/2012,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - Army,31900000
April 2010 Oil Rig Explosion Lawsuits,Halliburton,Date of Filing,4/21/2010,Labor,Pending,Civil,Non-Governmental,None,0
IRS Challenge of Accounting Practices,"SRA International, Inc.",Date of Financial Statement,8/6/2002,Tax,Settlement,Administrative,Treasury - IRS,None,0
AFMS LLC v. UPS and FedEx (Antitrust),FedEx Corporation,Date of Complaint,8/5/2010,Antitrust,Pending,Civil,Non-Governmental,None,0
Federal and State Environmental Violations at Waterford Facility,General Electric,Date of Settlement Announcement,12/3/2015,Environment,Settlement,Civil,Multiple Agencies,None,2250000
"Lowe v. The Wackenhut Corp. (Misconduct at a a Coke County, TX Juvenile Facility)",G4S PLC,Date of Media Accounts,5/1/2000,Human Rights,Settlement,Civil,Non-Governmental,State/Local,Undisclosed/Unknown
Safety Violations at Scotland Refinery,BP P.L.C.,Date of Conviction,1/18/2002,Environment,Pleaded Guilty,Criminal,International,None,1400000
Defective Crankshaft Design,"Textron, Inc.",Date of Appellate Opinion,11/1/2007,Non-governmental Contract Fraud,Judgment Against Defendant,Civil,Non-Governmental,Non-Governmental,0
Unlicensed Exports to South Korea,Lockheed Martin,Date of Fine,10/3/1997,Import/Export,Fine,Administrative,Commerce,International,45000
"Allen v. Booz Allen Hamilton (Breach of Contract, Failure to Pay Wages)",Booz Allen Hamilton,Date of Complaint,2/21/2014,Labor,Pending,Civil,Non-Governmental,Non-Governmental,0
Barnwell v. CCA (Unpaid Compensation),Corrections Corporation of America,Date of Filing,5/2/2008,Labor,Settlement,Civil,Non-Governmental,None,7000000
Illegally Collecting Money from Enrollees' Personal Injury Awards,"Health Net, Inc.",Date of Settlement Announcement,10/19/2005,Consumer Affairs,Settlement,Civil,State/Local,None,166671
"U.S. ex rel. Robert Hindin v. Hewlett Packard, et al. (Defective Medical Monitoring Devices)",Hewlett-Packard Company,Date of Settlement Announcement,7/30/2002,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,Undisclosed/Unknown
Price v. Federal Express (Retaliation),FedEx Corporation,Date of Verdict,1/31/2008,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,2850000
Improper Billing and Cost Shifting,Westinghouse Electric Corp.,Date of Settlement Announcement,1/10/2005,Government Contract Fraud,Settlement,Administrative,Energy,Energy,4400000
Violations of Hazardous Materials Regulations,FedEx Corporation,Date of Report,1/1/2003,Health,Fine,Administrative,Transportation,Non-Governmental,8400
Radiopharmaceutical Market Monopolization,"Cardinal Health, Inc.",Date of Settlement Announcement,4/20/2015,Antitrust,Settlement,Civil,FTC,None,26800000
"Mayflower, Arkansas Oil Spill - State Lawsuits",Exxon Mobil,Date of Settlement Announcement,6/1/2017,Environment,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
"U.S. ex rel. Kingsley v. NetCracker Technology, et al. (False Claims on DISA Contract)",Computer Sciences Corporation,Date of Settlement Agreement,10/27/2015,Government Contract Fraud,Settlement,Civil,Justice,Defense - General,1350000
July 2013 Asiana Airlines Crash,Boeing Company,Date of Complaint,5/12/2014,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Burchfiel v. Boeing (Disability Discrimination),Boeing Company,(Date of Filing - approx.),5/3/2004,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,1007000
Underpayment of Natural Gas Royalties in Texas - Landowner Lawsuits,Total S.A.,Date of Settlement Announcement,5/23/2016,Non-governmental Contract Fraud,Settlement,Civil,Non-Governmental,Non-Governmental,13125000
Illegal Testing in Nigeria,"Pfizer, Inc.",Date of Government Settlement,7/30/2009,Health,Settlement,Criminal,International,None,75000000
Kuwait Contract Bribery,"IAP Worldwide Services, Inc.",Date of Non-Prosecution Agreement,6/16/2015,Government Contract Fraud,Non-Prosecution Agreement,Criminal,Justice,International,7100000
Alliance Benefits False Claims Act Lawsuit,Hewlett-Packard Company,Date of Filing,4/12/2007,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,55000000
"Age Discrimination - Chesterbook, PA",AmerisourceBergen,Date of Lawsuit Announcement,10/1/2012,Labor,Pending,Civil,EEOC,None,0
Hazardous Waste Violations in King of Prussia,GlaxoSmithKline,Date of Settlement Announcement,8/11/2014,Environment,Settlement,Administrative,EPA,None,317550
Medicare Overcharging,Anthem Health of Indiana,Date of Announcement,9/21/2005,Government Contract Fraud,Settlement,Civil,Health and Human Services,Health and Human Services,6000000
"FDA Inspection of Frankfurt, Germany Facility",Sanofi-Aventis,Date of FDA Warning Letter,2/9/2011,Health,Investigative Finding,N/A,Health and Human Services,None,0
Overtime Compensation Lawsuits,AT&T Inc.,Date of Complaint,2/5/2008,Labor,Pending,Civil,Non-Governmental,None,0
Finn v. Booz Allen Hamilton (Sex Discrimination),Booz Allen Hamilton,Date of Complaint,7/27/2011,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Vioxx Individual Consumers Settlement,"Merck & Co., Inc.",Date of Preliminary Settlement,7/17/2013,Health,Settlement,Civil,Non-Governmental,None,23000000
"Smith v. Management and Training Corp. (Sex Discrimination, Retaliation)",Management & Training Corp.,Date of Complaint,8/15/2016,Labor,Pending,Civil,Non-Governmental,None,0
"Estate of Thompson, et al. v. Mission Essential Personnel (Wrongful Death)","Mission Essential Personnel, LLC",Date of Complaint,7/11/2011,Consumer Affairs,Settlement,Civil,Non-Governmental,Defense - Army,Undisclosed/Unknown
SIGIR Audit of Reconstruction and Logistics Contract,Anham FZCO,Date of SIGIR Report,7/30/2011,Cost/Labor Mischarge,Investigative Finding,N/A,SIGIR,Defense - General,0
Heath v. AT&T (E-Rate Program False Claims),AT&T Inc.,Date of First Amended Complaint (WI Bell),12/9/2011,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Scharfstein v. BP West Coast Products et al. (Illegal Debit Card Fees),BP P.L.C.,Date of Complaint,12/29/2011,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,None,580000000
Chantix Products Liability Litigation,"Pfizer, Inc.",Date of Complaint,3/23/2010,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
April 2010 Gulf of Mexico Oil Spill - Federal Criminal Settlement,BP P.L.C.,Date of Settlement Announcement,11/15/2012,Environment,Pleaded Guilty,Criminal,Multiple Agencies,None,4525000000
"Werbowsky, et al. v. Boeing et al. (Securities Class Action)",Boeing Company,Date of Settlement,9/21/2001,Securities,Settlement,Civil,Non-Governmental,None,92500000
Santa Susana Field Laboratory Pollution,Boeing Company,Date of Settlement,4/15/2010,Environment,Settlement,Civil,State/Local,None,575500
Counterfeit Helicopter Engine Microprocessors,United Technologies Corporation,Date of Settlement Announcement,12/19/2017,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Defense - Army,1060000
Velez v. Novartis Corp. (Gender Discrimination),Novartis AG,Date of Filing,11/19/2004,Labor,Settlement,Civil,Non-Governmental,None,175000000
Galmines v. Novartis Pharmaceutical Corp. (Elidel False Claims),Novartis AG,Date of TX Settlement Announcement,10/30/2012,Health,Settlement,Civil,Multiple Agencies,Health and Human Services,54900000
Worker Safety and Health Violations (2009),Savannah River Nuclear Solutions,Date of PNOV,10/7/2010,Labor,Restitution,Administrative,Energy,Energy,3080000
Wisconsin Drug Prices Lawsuit,McKesson,Date of Settlement Announcement,11/5/2013,Antitrust,Settlement,Civil,State/Local,None,13916116
Violations of Nuclear Safety Regulations (Hanford),Bechtel Corporation,Date of PNOV,10/4/2007,Labor,Fine,Administrative,Energy,Energy,165000
Violations of Virginia Waste Management Regulations,Honeywell International Inc.,Date of Consent Order,7/23/2004,Environment,Settlement,Civil,State/Local,None,13150
Anticompetitive Conduct in the Municipal Bond Investments Market (Non-Prosecution Agreement),General Electric,Date of Non-Prosecution Agreement,12/23/2011,Antitrust,Non-Prosecution Agreement,Criminal,Justice,None,0
North Slope Clean Water Act / Clean Air Act Settlement,BP P.L.C.,Date of Settlement Announcement,5/3/2011,Environment,Settlement,Civil,Multiple Agencies,None,25000000
Somers v. Fluor Hanford (PCB Spill),Fluor Corporation,Date of Second Amended Complaint,8/27/2007,Environment,Pending,Civil,Non-Governmental,Energy,0
Rowatt v. Wyeth (Hormone Therapy Litigation),Wyeth,Date of Verdict,10/10/2007,Health,Judgment Against Defendant,Civil,Non-Governmental,None,57800000
Rodriguez et al. v. Lockheed Martin et al. (Defective Mortar Cartridge),General Dynamics,Date of Complaint,4/25/2008,Consumer Affairs,Pending,Civil,Non-Governmental,Defense - Army,0
Hanford P-Card False Claims Act and Anti-Kickback Act Liability,Fluor Corporation,Date of Settlement Announcement,6/17/2011,Government Contract Fraud,Settlement,Civil,Energy,Energy,4000000
